hour,dayOfWeek,activeUsers,newUsers
4,Tuesday,223,57
1,Tuesday,216,41
6,Wednesday,216,32
6,Tuesday,209,42
0,Wednesday,202,27
7,Tuesday,202,33
2,Wednesday,199,29
6,Monday,199,36
8,Wednesday,195,37
2,Tuesday,192,23
5,Wednesday,185,41
9,Tuesday,185,22
9,Wednesday,185,42
7,Wednesday,181,23
0,Tuesday,174,28
1,Wednesday,174,29
11,Tuesday,174,18
3,Tuesday,174,22
8,Tuesday,174,31
1,Monday,171,27
1,Thursday,167,26
7,Thursday,167,46
0,Thursday,164,25
8,Monday,164,29
7,Monday,160,22
11,Wednesday,157,25
3,Wednesday,157,19
7,Friday,157,35
8,Thursday,157,6
23,Monday,153,17
4,Wednesday,153,25
23,Tuesday,150,28
9,Thursday,150,26
10,Tuesday,146,36
10,Wednesday,146,23
5,Thursday,146,16
5,Tuesday,146,27
6,Friday,146,26
2,Monday,143,31
3,Monday,143,17
12,Monday,139,17
2,Friday,139,22
5,Monday,139,26
9,Friday,139,47
13,Monday,136,16
22,Monday,136,9
19,Wednesday,132,6
0,Monday,129,22
12,Tuesday,129,19
12,Wednesday,129,37
22,Tuesday,129,29
9,Monday,129,23
11,Monday,125,33
11,Thursday,125,18
18,Wednesday,125,32
14,Monday,122,19
0,Friday,118,23
1,Friday,118,30
6,Thursday,118,20
10,Monday,115,16
13,Wednesday,115,28
22,Wednesday,115,32
13,Tuesday,111,3
18,Tuesday,111,16
13,Thursday,108,9
17,Tuesday,108,15
17,Wednesday,108,25
19,Monday,108,22
20,Monday,108,20
3,Friday,108,6
4,Monday,108,25
8,Friday,108,33
15,Wednesday,104,15
18,Sunday,104,16
23,Sunday,104,16
4,Thursday,104,31
10,Thursday,101,19
22,Sunday,101,26
23,Wednesday,101,26
4,Friday,101,9
11,Friday,98,6
14,Wednesday,98,9
23,Thursday,98,23
12,Thursday,94,10
14,Friday,94,19
14,Thursday,94,22
16,Tuesday,94,22
18,Monday,94,22
10,Friday,91,13
11,Saturday,91,39
16,Wednesday,91,7
17,Sunday,91,13
17,Thursday,91,13
19,Tuesday,91,3
20,Tuesday,91,24
22,Thursday,91,12
3,Thursday,91,6
14,Tuesday,87,16
18,Thursday,87,33
8,Sunday,87,19
10,Sunday,84,23
12,Friday,84,24
16,Thursday,84,26
19,Sunday,84,33
5,Friday,84,23
1,Sunday,80,27
15,Tuesday,80,16
2,Thursday,80,12
3,Sunday,80,16
13,Friday,77,14
15,Thursday,77,16
16,Monday,77,10
20,Sunday,77,6
21,Wednesday,77,15
13,Saturday,73,34
14,Sunday,73,30
15,Monday,73,13
17,Monday,73,12
20,Wednesday,73,9
10,Saturday,70,27
12,Sunday,70,13
19,Thursday,70,10
21,Monday,70,25
8,Saturday,70,7
9,Saturday,70,13
15,Sunday,66,10
16,Friday,66,26
2,Saturday,66,23
9,Sunday,66,19
11,Sunday,63,3
21,Tuesday,63,12
4,Saturday,63,6
4,Sunday,63,27
15,Saturday,59,21
18,Saturday,59,22
20,Thursday,59,3
6,Saturday,59,6
6,Sunday,59,7
0,Saturday,56,16
1,Saturday,56,13
14,Saturday,56,14
15,Friday,56,10
21,Sunday,56,7
21,Thursday,56,6
5,Sunday,56,17
12,Saturday,52,10
19,Saturday,52,13
23,Saturday,52,13
17,Friday,49,7
22,Saturday,49,19
5,Saturday,49,6
16,Saturday,45,10
16,Sunday,45,6
17,Saturday,45,20
7,Saturday,45,0
7,Sunday,45,10
18,Friday,42,13
0,Sunday,38,17
20,Saturday,38,10
13,Sunday,35,6
2,Sunday,35,17
22,Friday,35,10
19,Friday,31,9
21,Saturday,28,10
20,Friday,24,6
23,Friday,21,3
3,Saturday,21,3
21,Friday,14,3